experiment,run,generation,success,best_fitness
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",1,63,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",2,16,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",3,26,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",4,31,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",5,61,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",6,21,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",7,123,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",8,49,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",9,21,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",10,75,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",11,14,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",12,330,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",13,49,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",14,9,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",15,12,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",16,15,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",17,1000,0,27
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",18,37,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",19,17,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",20,26,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",21,44,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",22,31,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",23,76,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",24,19,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",25,26,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",26,130,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",27,18,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",28,50,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",29,21,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",30,14,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",31,475,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",32,30,1,28
"Kodierung 50, Turnier k=3, 1-Punkt, genweise Mutation",33,160,1,28
