experiment,run,generation,success,best_fitness,conflicts,num_colors
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",1,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",2,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",3,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",4,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",5,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",6,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",7,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",8,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",9,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",10,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",11,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",12,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",13,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",14,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",15,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",16,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",17,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",18,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",19,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",20,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",21,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",22,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",23,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",24,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",25,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",26,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",27,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",28,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",29,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",30,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",31,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",32,0,1,996,0,4
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",33,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",34,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",35,0,1,997,0,3
"Kodierung 50, Turnier k=3, Uniform, genweise Mutation",36,0,1,996,0,4
